"","x"
"480",16263.6181640625
"481",7117.78857421875
"482",8211.1953125
"483",12860.1357421875
"484",3549.9658203125
"485",27090.453125
"486",38123.5
"487",8758.8623046875
"488",21330.470703125
"489",12188.603515625
"490",15212.4072265625
"491",16149.7919921875
"492",30427.12890625
"493",32837.7578125
"494",16042.703125
"495",11917.8994140625
"496",21813.658203125
"497",6942.7138671875
"498",20368.9609375
"499",22233.224609375
"500",5115.46142578125
"501",17295.83203125
"502",28108.279296875
"503",6799.77197265625
"504",8675.3095703125
"505",12393.818359375
"506",25747.2109375
"507",22932.802734375
"508",16123.873046875
"509",82552.7421875
"510",18359.86328125
"511",9810.015625
"512",21974.76171875
"513",13921.8115234375
"514",8583.609375
"515",44346.75390625
"516",9226.6494140625
"517",25239.677734375
"518",26826.958984375
"519",1657.154296875
"520",5254.9228515625
"521",5300.4794921875
"522",18248.0859375
"523",46580.0234375
"524",18437.34765625
"525",12577.994140625
"526",9582.447265625
"527",25205.8125
"528",34605.75390625
"529",28055.634765625
"530",40087.609375
"531",7248.154296875
"532",19530.51171875
"533",13550.1416015625
"534",23521.384765625
"535",31036.728515625
"536",12535.9697265625
"537",43852.859375
"538",17491.986328125
"539",4294.47265625
"540",17448.59765625
"541",9235.7158203125
"542",91247.734375
"543",9368.041015625
"544",12882.5634765625
"545",6856.94775390625
"546",19247.134765625
"547",7916.5791015625
"548",5022.5498046875
"549",7290.46533203125
"550",13827.26953125
"551",14320.7587890625
"552",7061.9697265625
"553",26587.36328125
"554",7463.7041015625
"555",12121.181640625
"556",27622.376953125
"557",17227.234375
"558",109794.15625
"559",6865.53271484375
"560",15980.978515625
"561",3661.40649414062
"562",35894.69921875
"563",28385.97265625
"564",68848.765625
"565",6361.34130859375
"566",5811.47509765625
"567",13750.591796875
"568",14941.8583984375
"569",2788.96533203125
"570",14737.7861328125
"571",50330.1328125
"572",1011.74975585938
"573",15124.1533203125
"574",28400.171875
"575",17682.611328125
"576",11381.0029296875
"577",19046.74609375
"578",52567.0859375
"579",15402.607421875
"580",5051.52880859375
"581",11834.4931640625
"582",34083.74609375
"583",22007.1484375
"584",87279.609375
"585",27780.287109375
"586",52135.80078125
"587",14999.7646484375
"588",15540.1865234375
"589",43621.7421875
"590",34640.43359375
"591",9353.5380859375
"592",13521.4501953125
"593",21140.50390625
"594",52949.25390625
"595",18885.259765625
"596",20845.916015625
"597",4006.01391601562
"598",28931.873046875
"599",11766.0986328125
"600",13143.23046875
"601",48246.2421875
"602",9216.8603515625
"603",3102.15576171875
"604",14270.9697265625
"605",32699.009765625
"606",21794.8359375
"607",13104.697265625
"608",16506.3359375
"609",27834.6953125
"610",11874.552734375
"611",17145.798828125
"612",13663.8427734375
"613",11734.611328125
"614",13233.40234375
"615",24936.458984375
"616",12615.1015625
"617",17751.70703125
"618",6261.46044921875
"619",6306.5703125
"620",12248.1318359375
"621",33418.26171875
"622",7761.25048828125
"623",17445.361328125
"624",1731.78833007812
"625",17587.865234375
"626",6964.92626953125
"627",7360.5029296875
"628",11468.447265625
"629",8099.056640625
"630",4774.234375
"631",4558.49169921875
"632",30024.876953125
"633",4642.373046875
"634",20130.4609375
"635",10582.783203125
"636",9395.4052734375
"637",225.396987915039
"638",103652.7265625
"639",57007.23046875
"640",8547.361328125
"641",4596.29345703125
"642",12290.2900390625
"643",22485.837890625
"644",24560.017578125
"645",18445.03125
"646",26163.296875
"647",4534.5146484375
"648",15086.0546875
"649",10866.8662109375
"650",11713.4482421875
"651",31316.669921875
"652",14712.765625
"653",26012.697265625
"654",22507.4296875
"655",176164.875
"656",7101.8115234375
"657",11225.6611328125
"658",15996.80078125
"659",13245.0712890625
"660",78254.625
