"ID","tt_above60","tt_below60","tt_below30","tt_30_60","tt_60_110","tt_above110","total"
"ANSNSH13",0,12493.267578125,12493.267578125,0,0,0,12493.267578125
"ANSNSH12",0,8213.8798828125,8213.8798828125,0,0,0,8213.8798828125
"NISBDA06",0,18909.60546875,18909.60546875,0,0,0,18909.60546875
"CRSCAL09",0,17722.095703125,17269.443359375,452.65087890625,0,0,17722.095703125
"OSSOSO15",0,12375.572265625,12375.572265625,0,0,0,12375.572265625
"ANSNSH03",0,10390.712890625,10390.712890625,0,0,0,10390.712890625
"ANSZBL11",0,6562.17529296875,6562.17529296875,0,0,0,6562.17529296875
"NISBDA12",0,10819.564453125,10819.564453125,0,0,0,10819.564453125
"CRSCAL10",0,9367.0166015625,9367.0166015625,0,0,0,9367.0166015625
"DTSAYB08",3799.90991210938,6551.22607421875,241.160461425781,6310.0654296875,3799.90991210938,0,10351.1359863281
"DTSAYB10",0,6460.5810546875,3259.96655273438,3200.61450195312,0,0,6460.5810546875
"DTSAYB03",0,9461.7734375,7717.1328125,1744.64074707031,0,0,9461.7734375
"RVSRGM06",0,1098.3408203125,0,1098.3408203125,0,0,1098.3408203125
"RVSRGM02",0,311.1123046875,0,311.1123046875,0,0,311.1123046875
"AKSKET02",0,35036.50390625,35036.50390625,0,0,0,35036.50390625
"OSSIDN11",0,6846.31591796875,6846.31591796875,0,0,0,6846.31591796875
"AKSKTE04",0,31261.22265625,28537.205078125,2724.01733398438,0,0,31261.22265625
"AKSKTE10",0,23840.134765625,22698.06640625,1142.06945800781,0,0,23840.134765625
"AKSKTE02",0,21344.130859375,6207.6162109375,15136.5146484375,0,0,21344.130859375
"AKSKTE11",0,37837.4375,37823.2578125,14.1808528900146,0,0,37837.4375
"OSSION02",0,7944.177734375,7944.177734375,0,0,0,7944.177734375
"OSSION04",0,20521.6484375,19888.685546875,632.962097167969,0,0,20521.6484375
"OSSION05",0,4989.72509765625,4989.72509765625,0,0,0,4989.72509765625
"OGSABS07",0,9531.37109375,9531.37109375,0,0,0,9531.37109375
"LASAON03",0,10504.1943359375,10502.1953125,1.99880969524384,0,0,10504.1943359375
"LASSMU05",0,3270.69775390625,3270.69775390625,0,0,0,3270.69775390625
"ANSHAL17",0,29628.814453125,29628.814453125,0,0,0,29628.814453125
"OSSIWO02",0,921.627319335938,921.627319335938,0,0,0,921.627319335938
"ANSABN17",0,4834.33447265625,4834.33447265625,0,0,0,4834.33447265625
"IMSMGD09",0,18654.66796875,18609.548828125,45.119140625,0,0,18654.66796875
"ANSABN11",0,12620.390625,12620.390625,0,0,0,12620.390625
"ANSABN03",0,13470.697265625,13470.697265625,0,0,0,13470.697265625
"ANSAWK08",0,18631.375,18631.375,0,0,0,18631.375
"OSSICL04",0,27332.78125,27332.78125,0,0,0,27332.78125
"OSSICL08",0,27277.490234375,23199.830078125,4077.66040039062,0,0,27277.490234375
"KWSFUF03",0,180153.328125,131009.671875,49143.65234375,0,0,180153.328125
"KN3809",0,50007.21484375,50007.21484375,0,0,0,50007.21484375
"KN1209",0,21318.54296875,21318.54296875,0,0,0,21318.54296875
"ANSNNE05",0,14760.09765625,14760.09765625,0,0,0,14760.09765625
"ANSUKP04",0,32178.537109375,30081.455078125,2097.08081054688,0,0,32178.537109375
"ANSUKP15",0,6677.61279296875,5911.72265625,765.890197753906,0,0,6677.61279296875
"IMSWER12",0,17704.900390625,17704.900390625,0,0,0,17704.900390625
"ANSUKP10",0,4195.07080078125,4195.07080078125,0,0,0,4195.07080078125
"ANSFGG03",0,2510.51293945312,2510.51293945312,0,0,0,2510.51293945312
"ABSUMA19",0,12157.970703125,12157.970703125,0,0,0,12157.970703125
"ANSNEN09",0,16954.521484375,16954.521484375,0,0,0,16954.521484375
"ANSFGG13",0,690.392639160156,690.392639160156,0,0,0,690.392639160156
"ANSATN12",0,3927.26586914062,3855.3759765625,71.8898010253906,0,0,3927.26586914062
"EBSHKW39",0,7288.62255859375,7288.62255859375,0,0,0,7288.62255859375
"ANSAWK15",0,8441.5234375,8441.5234375,0,0,0,8441.5234375
"OYSODS06",0,8900.3759765625,8900.3759765625,0,0,0,8900.3759765625
"ANSABN14",0,5391.3076171875,5391.3076171875,0,0,0,5391.3076171875
"OSSIWO12",0,8302.2890625,8302.2890625,0,0,0,8302.2890625
"ANSABN10",0,10728.70703125,10728.70703125,0,0,0,10728.70703125
"OSSICL03",0,12220.4306640625,12220.4306640625,0,0,0,12220.4306640625
"ANSAWK07",0,16649.041015625,16649.041015625,0,0,0,16649.041015625
"ANSAWK02",0,5119.05419921875,5119.05419921875,0,0,0,5119.05419921875
"ANSABN06",0,4742.51171875,4742.51171875,0,0,0,4742.51171875
"EDSUSL09",0,34363.11328125,28391.65625,5971.45751953125,0,0,34363.11328125
"ODSANE04",0,10622.703125,7779.74462890625,2842.95825195312,0,0,10622.703125
"OSSIWO05",0,4393.44873046875,4393.44873046875,0,0,0,4393.44873046875
"ABSACH02",0,11573.365234375,11573.365234375,0,0,0,11573.365234375
"LASEOA12",0,13744.767578125,13744.767578125,0,0,0,13744.767578125
"OYSISN03",177.814575195312,1437.5693359375,441.276763916016,996.292541503906,177.814575195312,0,1615.38391113281
"LASMUN04",0,6831.1748046875,6831.1748046875,0,0,0,6831.1748046875
"LASAMO03",0,10503.9931640625,1801.39184570312,8702.6015625,0,0,10503.9931640625
"OGSIUE11",0,4958.50048828125,4958.50048828125,0,0,0,4958.50048828125
"KWSFUF10",0,5538.1943359375,5538.1943359375,0,0,0,5538.1943359375
"KWSFUF07",0,7150.6201171875,7150.6201171875,0,0,0,7150.6201171875
"KWSKEY04",0,123609.90625,123609.90625,0,0,0,123609.90625
"KWSKEY06",0,23416.1171875,16420.029296875,6996.08740234375,0,0,23416.1171875
"EKSIEN05",0,2798.0234375,2798.0234375,0,0,0,2798.0234375
"IMSUMD02",0,24771.240234375,24771.240234375,0,0,0,24771.240234375
"ANSAJL16",0,9032.8271484375,9032.8271484375,0,0,0,9032.8271484375
"ABSKPU15",0,4630.77685546875,4630.77685546875,0,0,0,4630.77685546875
"IMSAFR12",0,7598.34619140625,7598.34619140625,0,0,0,7598.34619140625
"ANSNEN16",0,11937.2216796875,11390.85546875,546.365966796875,0,0,11937.2216796875
"ABSNGK03",0,87235.921875,87235.921875,0,0,0,87235.921875
"ANSJJT03",0,23329.916015625,23329.916015625,0,0,0,23329.916015625
"ANSNNE02",0,40681.9453125,40486.53515625,195.410903930664,0,0,40681.9453125
"IMSMGD02",0,12636.3916015625,12636.3916015625,0,0,0,12636.3916015625
"ANSNEN08",0,22937.384765625,22937.384765625,0,0,0,22937.384765625
"IMSAWD15",0,14554.740234375,14554.740234375,0,0,0,14554.740234375
"ANSNEN04",0,7197.27880859375,7197.27880859375,0,0,0,7197.27880859375
"ANSAGU19",0,15354.931640625,10940.6865234375,4414.2451171875,0,0,15354.931640625
"IMSMGD06",0,54028.4765625,54028.4765625,0,0,0,54028.4765625
"ANSAGU02",0,26075.275390625,24965.92578125,1109.34912109375,0,0,26075.275390625
"ANSFGG16",0,0,0,0,0,0,0
"ANSAJL08",0,19189.90625,19187.087890625,2.81845879554749,0,0,19189.90625
"OYSINW09",0,1547.91235351562,1547.91235351562,0,0,0,1547.91235351562
"ANSAGU17",0,30569.427734375,30569.427734375,0,0,0,30569.427734375
"IMSAFR09",0,27721.697265625,27721.697265625,0,0,0,27721.697265625
"IMSAWD09",0,17392.00390625,17392.00390625,0,0,0,17392.00390625
"ABSEZA07",0,77239.8046875,77239.8046875,0,0,0,77239.8046875
"ANSAGU07",0,35889.81640625,35889.81640625,0,0,0,35889.81640625
"IMSAMG07",0,10036.06640625,10036.06640625,0,0,0,10036.06640625
"ANSNEN01",0,6384.16162109375,4049.81567382812,2334.34619140625,0,0,6384.16162109375
"ANSNEN14",0,16989.001953125,16989.001953125,0,0,0,16989.001953125
"IMSWER11",0,10333.02734375,10333.02734375,0,0,0,10333.02734375
"IMSNKR08",0,14975.349609375,14975.349609375,0,0,0,14975.349609375
"ANSAGU09",0,15628.859375,15628.859375,0,0,0,15628.859375
"ANSFGG05",0,282.528869628906,282.528869628906,0,0,0,282.528869628906
"ANSFGG12",0,4217.24658203125,4217.24658203125,0,0,0,4217.24658203125
"ANSFGG17",0,1094.36071777344,1094.36071777344,0,0,0,1094.36071777344
"ANSUKP03",0,38255.28515625,38255.28515625,0,0,0,38255.28515625
"ANSFGG02",0,1961.63134765625,1961.63134765625,0,0,0,1961.63134765625
"IMSWER02",0,23809.65234375,22037.5703125,1772.08166503906,0,0,23809.65234375
"ANSATN11",0,2847.396484375,2847.396484375,0,0,0,2847.396484375
"EDSBEN09",0,1497.5048828125,1497.5048828125,0,0,0,1497.5048828125
"ANSNEN02",0,10235.46875,10235.46875,0,0,0,10235.46875
"ABSEZA10",0,14142.91015625,14142.91015625,0,0,0,14142.91015625
"ANSFGG10",0,6675.82470703125,6675.82470703125,0,0,0,6675.82470703125
"ANSNNE04",0,20587.49609375,20587.49609375,0,0,0,20587.49609375
"12503",0,1202.32775878906,1202.32775878906,0,0,0,1202.32775878906
"ANSUKP14",0,29269.369140625,29269.369140625,0,0,0,29269.369140625
"12405",0,26410.873046875,26410.873046875,0,0,0,26410.873046875
"ANSAGU11",0,27795.716796875,23868.521484375,3927.1953125,0,0,27795.716796875
"ANSNNE07",0,48087.03125,48087.03125,0,0,0,48087.03125
"ANSFGG15",0,2352.52368164062,2352.52368164062,0,0,0,2352.52368164062
"ANSFGG08",0,89.6305541992188,89.6305541992188,0,0,0,89.6305541992188
"ANSGDD06",0,79218.1953125,79218.1953125,0,0,0,79218.1953125
"ENSNKW06",0,30965.560546875,30965.560546875,0,0,0,30965.560546875
"OYSIBAN06",0,5.06037902832031,5.06037902832031,0,0,0,5.06037902832031
"ANSATN13",0,16345.2197265625,16345.2197265625,0,0,0,16345.2197265625
"IMSWER06",0,3581.23266601562,3581.23266601562,0,0,0,3581.23266601562
"ANSAWK04",0,24021.12109375,24021.12109375,0,0,0,24021.12109375
"ANSFGG09",0,196.918563842773,196.918563842773,0,0,0,196.918563842773
"ANSATN15",0,11058.2783203125,7372.3896484375,3685.88842773438,0,0,11058.2783203125
"ABSUMA20",0,12067.7763671875,12067.7763671875,0,0,0,12067.7763671875
"ANSAWK10",0,45854.49609375,12707.6630859375,33146.83203125,0,0,45854.49609375
