"wardcode","conflict_index"
"BNSGTU09",4
"BNSGTU10",6
"BNSJUX03",7
"BNSKAL03",1
"BNSKAL04",5
"BNSKAL06",6
"BNSKAL07",5
"BNSKAL10",7
"BNSMKD01",4
"BNSMKD02",7
"BNSMKD03",3
"BNSMKD05",1
"BNSMKD09",5
"BNSNAK03",8
"BNSNAK04",7
"BNSNAK05",7
"BNSNAK07",7
"BNSPKG01",3
"BNSPKG05",5
"BNSPKG08",5
"BNSPKG12",3
"BNSSEL01",3
"BNSSEL03",5
"BNSTKP01",4
"BNSTKP02",4
"BNSTKP04",8
"BNSTKP05",3
"BNSTKP08",4
"BNSTKP11",1
"BNSTSE04",4
"BNSUKM03",7
"BNSUKM04",5
"BNSUKM05",1
"BNSUKM07",7
"BNSUKM08",3
"BNSUKM10",5
"BNSUKM11",5
"BNSUKM12",1
"BNSUKM13",5
"BNSVDY12",1
"BNSWDP03",6
"BNSWDP08",6
"BNSWDP15",6
"BNSYGJ01",5
"BNSYGJ02",5
"BNSYGJ05",3
"BNSYGJ06",7
"BNSYGJ07",7
"BNSYGJ08",8
"BNSYGJ10",6
"BYSBRS01",7
"BYSBRS06",3
"BYSGBB09",6
"BYSGBB10",2
"BYSGBB12",7
"BYSGBB13",1
"BYSKMR05",6
"BYSNEM01",4
"BYSNEM10",7
"BYSSAG01",5
"BYSSPR04",5
"BYSSPR07",4
"BYSSPR08",8
"BYSSPR09",6
"BYSSPR10",4
"BYSSPR11",3
"BYSSPR13",3
"BYSYEN01",6
"BYSYEN02",3
"BYSYEN03",5
"BYSYEN08",3
"BYSYEN09",3
"BYSYEN10",5
"BYSYEN14",6
"BYSYEN15",6
"CRSAKP01",4
"CRSAKP06",7
"CRSAKP07",6
"CRSAKP10",2
"CRSANA06",2
"CRSANA07",1
"CRSANA11",4
"CRSBJE05",6
"CRSBJE10",6
"CRSBKS04",7
"CRSBKS07",6
"CRSBNS03",3
"CRSBRA02",8
"CRSBRA03",6
"CRSBRA07",7
"CRSBRA08",8
"CRSCAL05",3
"CRSCAL10",6
"CRSCKK03",2
"CRSCKK08",5
"CRSCKK12",8
"CRSDUK03",6
"CRSDUK06",1
"CRSGEP03",2
"CRSGEP08",8
"CRSGEP12",3
"CRSGGJ01",5
"CRSGGJ04",2
"CRSKAM04",3
"CRSKAM05",3
"CRSKMM03",1
"CRSKMM04",5
"CRSKMM08",7
"CRSKMM11",5
"CRSKTA06",7
"CRSUDU03",4
"CRSUDU10",5
"DTSABH02",7
"DTSABH05",2
"DTSAGB09",3
"DTSAGB11",6
"DTSAKU01",5
"DTSAKU04",5
"DTSAKU05",4
"DTSAKU06",5
"DTSALA01",6
"DTSALA02",4
"DTSALA03",4
"DTSALA04",2
"DTSALA05",3
"DTSALA07",5
"DTSALA08",6
"DTSALA09",1
"DTSASB10",7
"DTSAYB01",5
"DTSAYB10",7
"DTSAYB11",2
"DTSBKW06",7
"DTSBKW07",3
"DTSBKW08",6
"DTSBKW10",7
"DTSBMA07",6
"DTSBMA08",8
"DTSBUR04",6
"DTSBUR07",6
"DTSBUR10",5
"DTSDSZ04",6
"DTSDSZ09",4
"DTSDSZ13",5
"DTSEFR02",5
"DTSEFR05",2
"DTSEFR07",5
"DTSEFR10",7
"DTSGRA01",8
"DTSGRA05",5
"DTSGRA08",5
"DTSGWK02",5
"DTSGWK03",5
"DTSGWK04",6
"DTSGWK05",6
"DTSGWK06",5
"DTSGWK08",5
"DTSJRT01",4
"DTSJRT06",5
"DTSJRT07",6
"DTSKLK05",5
"DTSKPE05",3
"DTSKPE06",2
"DTSKPE07",4
"DTSKPE08",4
"DTSKPE10",3
"DTSKWC05",5
"DTSKWC06",5
"DTSKWC08",5
"DTSLEH02",4
"DTSLEH04",7
"DTSLEH08",8
"DTSPTN04",3
"DTSPTN09",7
"DTSSAP03",4
"DTSSAP07",6
"DTSSKL05",6
"DTSSKL06",3
"DTSSKL07",4
"DTSSKL09",4
"DTSSKL11",6
"DTSSLK04",4
"DTSSLK05",3
"DTSSLK08",6
"DTSUGH01",3
"DTSUGH02",3
"DTSUGH03",5
"DTSUGH05",6
"DTSUGH06",4
"DTSUGH08",3
"DTSUGH10",6
"DTSUGH11",6
"DTSWRC05",7
"DTSWWR02",6
"DTSWWR04",4
"DTSWWR08",2
"EBSAFK25",3
"EBSAFK26",5
"EBSAFK32",5
"EBSAFK36",4
"EBSAKL01",7
"EBSAKL10",3
"EBSAKL11",5
"EBSBKL02",5
"EBSBKL03",5
"EBSBKL06",6
"EBSBKL16",6
"EBSBZR03",6
"EBSBZR08",4
"EBSBZR11",4
"EBSBZR19",4
"EBSCHR06",6
"EBSCHR12",6
"EBSCHR13",4
"EBSCHR17",8
"EBSCHR20",3
"EBSCHR22",4
"EBSCHR27",5
"EBSEBJ01",6
"EBSEBJ07",6
"EBSEBJ09",7
"EBSEBJ15",5
"EBSEDA03",6
"EBSEDA04",6
"EBSEDA11",4
"EBSHKW03",7
"EBSHKW10",6
"EBSHKW15",7
"EBSHKW29",4
"EBSHKW38",5
"EBSNCA01",7
"EBSNCA02",7
"EBSNCA05",6
"EBSNCA06",8
"EBSNCA15",5
"EBSNCA24",7
"EBSNKE07",2
"EBSNKE18",6
"EBSSKA04",7
"EBSSKA14",3
"EBSUGB03",6
"EBSUGB04",7
"EBSZLL08",6
"EBSZLL11",7
"EBSZLL16",5
"EBSZLL18",6
"EBSZLL19",6
"EBSZLL21",6
"EBSZLL22",4
"EBSZLL24",3
"EBSZLL26",4
"EDSABD02",3
"EDSABD05",1
"EDSABD11",3
"EDSABD12",2
"EDSAFZ03",5
"EDSAFZ05",1
"EDSAGD06",2
"EDSAKA04",7
"EDSAKA07",6
"EDSAKA08",3
"EDSAKA10",7
"EDSAKA11",1
"EDSAUC01",5
"EDSAUC03",3
"EDSAUC07",5
"EDSAUC08",5
"EDSAUC10",4
"EDSAUC12",7
"EDSBEN12",6
"EDSDGE05",5
"EDSDGE07",5
"EDSDGE10",4
"EDSEHR06",7
"EDSEHR07",3
"EDSEHR08",4
"EDSEHR10",5
"EDSEKP05",2
"EDSEKP06",4
"EDSFUG02",2
"EDSGAR04",6
"EDSGAR05",3
"EDSGAR06",6
"EDSGAR10",2
"EDSGBZ04",6
"EDSGBZ07",4
"EDSGBZ09",5
"EDSGUE06",3
"EDSRRU03",6
"EDSRRU06",2
"EDSSGD01",6
"EDSSGD02",6
"EDSSGD08",5
"EDSSGD10",4
"EDSUBJ02",3
"EDSUBJ08",3
"EDSUSL06",2
"EDSUSL08",5
"EDSUSL10",4
"EKSADO01",3
"EKSADO03",4
"EKSEFO02",3
"EKSEFO03",4
"EKSEKE01",3
"EKSEKE07",3
"EKSEME02",6
"EKSEME08",6
"EKSGBN05",3
"EKSGBN10",2
"EKSIDO06",3
"EKSIDO09",3
"EKSIJO07",5
"EKSIJO08",4
"EKSIKE03",4
"EKSIKE06",6
"EKSIKE08",5
"EKSIKR08",6
"EKSIME02",4
"EKSMBA05",1
"EKSMBA09",3
"EKSOYE02",3
"EKSOYE07",5
"EKSOYE10",3
"ENSAGN05",5
"ENSAGN06",6
"ENSAGN13",6
"ENSAGW07",7
"ENSAWG02",5
"ENSAWG04",4
"ENSAWG05",3
"ENSAWG08",5
"ENSAWG09",5
"ENSBBG06",3
"ENSBBG09",4
"ENSBBG10",2
"ENSBLF05",1
"ENSDBR08",2
"ENSDBR12",6
"ENSDBR14",3
"ENSENU04",5
"ENSENU06",6
"ENSENU10",4
"ENSENU12",4
"ENSENU13",4
"ENSENZ05",2
"ENSENZ09",6
"ENSENZ10",7
"ENSGBO04",6
"ENSGBO17",2
"ENSJRV03",6
"ENSJRV06",4
"ENSJRV13",6
"ENSJRV20",7
"ENSKEM01",7
"ENSKEM03",6
"ENSKEM04",8
"ENSKEM05",5
"ENSKEM09",6
"ENSKEM11",5
"ENSMGL01",6
"ENSMGL02",6
"ENSMGL07",3
"ENSMGL08",2
"ENSMGL09",2
"ENSMGL11",6
"ENSMGL14",2
"ENSNKW01",4
"ENSNKW04",4
"ENSNKW05",3
"ENSNKW07",5
"ENSNKW11",5
"ENSNKW12",2
"ENSNSK02",6
"ENSNSK07",4
"ENSNSK09",5
"ENSUDD07",3
"ENSUDD08",6
"ENSUDD11",5
"ENSUDD14",4
"ENSUDD16",2
"ENSUMU02",3
"ENSUMU03",6
"ENSUMU05",5
"ENSUMU08",6
"ENSUMU09",7
"ENSUMU10",8
"ENSUMU12",7
"ENSUWN06",4
"ENSUWN07",6
"ENSUWN08",5
"ENSUWN10",7
"ENSUWN11",5
"FCTABC01",4
"FCTABC02",2
"FCTABC03",1
"FCTABC04",3
"FCTABC05",3
"FCTABC06",1
"FCTABC07",3
"FCTABC11",1
"FCTABC12",3
"FCTABJ04",4
"FCTABJ05",6
"FCTABJ06",2
"FCTABJ07",6
"FCTABJ10",6
"FCTBWR03",5
"FCTBWR04",6
"FCTBWR06",1
"FCTBWR07",7
"FCTBWR09",4
"FCTBWR10",4
"FCTGWA01",5
"FCTGWA02",5
"FCTGWA05",1
"FCTGWA07",1
"FCTGWA09",4
"FCTGWA10",6
"FCTKUJ01",3
"FCTKUJ02",3
"FCTKUJ04",6
"FCTKUJ05",7
"FCTKUJ06",5
"FCTKUJ08",3
"FCTKUJ09",4
"FCTKUJ10",7
"FCTKWL01",5
"FCTKWL02",4
"FCTKWL03",5
"FCTKWL04",1
"FCTKWL06",5
"FCTKWL07",5
"FCTKWL09",5
"GMSAKK01",3
"GMSAKK04",1
"GMSAKK08",1
"GMSBLG04",1
"GMSBLG05",1
"GMSBLG08",4
"GMSBLR05",6
"GMSBLR06",4
"GMSBLR10",1
"GMSDKU07",1
"GMSDKU08",1
"GMSGME06",5
"GMSKWM01",1
"GMSSHM08",6
"GMSSHM10",4
"GMSYDB03",3
"IMSABB03",3
"IMSABB04",4
"IMSABB05",4
"IMSABB12",5
"IMSABB13",2
"IMSAFR05",7
"IMSAFR10",7
"IMSAFR11",5
"IMSAMG06",4
"IMSAMG15",2
"IMSAWD01",8
"IMSAWD06",2
"IMSAWD08",6
"IMSAWD09",5
"IMSAWD10",7
"IMSDFB10",4
"IMSDFB15",2
"IMSEBM02",5
"IMSEBM03",7
"IMSEBM06",5
"IMSEBM13",5
"IMSEBM14",2
"IMSEHM02",6
"IMSEHM03",1
"IMSEHM10",4
"IMSETU01",4
"IMSETU11",4
"IMSETU12",3
"IMSGUA01",6
"IMSGUA02",5
"IMSGUA06",8
"IMSGUA07",8
"IMSGUA10",5
"IMSGUA12",6
"IMSIHI04",5
"IMSIHI06",5
"IMSIHI09",3
"IMSIHI14",4
"IMSKED02",3
"IMSKED04",4
"IMSKED06",7
"IMSKGE03",3
"IMSKGE07",7
"IMSKGE10",5
"IMSKGE11",6
"IMSKGE13",6
"IMSKGE14",3
"IMSKWE07",2
"IMSKWE10",7
"IMSKWE11",3
"IMSMGD02",2
"IMSMGD06",6
"IMSMGD07",8
"IMSNGB05",7
"IMSNGN01",3
"IMSNGN05",5
"IMSNGN07",6
"IMSNGN09",5
"IMSNGN12",2
"IMSNGN16",5
"IMSNKR04",3
"IMSNKR05",6
"IMSNSA06",7
"IMSNSA11",7
"IMSNWA01",5
"IMSNWA05",2
"IMSNWA06",5
"IMSNWA08",4
"IMSNWA13",6
"IMSNWA14",4
"IMSNWA15",4
"IMSRLU01",6
"IMSRLU04",5
"IMSRLU08",5
"IMSRLU10",6
"IMSRLU15",7
"IMSRRT06",3
"IMSRRT07",4
"IMSRRT15",5
"IMSTTK06",6
"IMSUMD01",5
"IMSUMD07",5
"IMSUMD15",2
"IMSUMG01",5
"IMSUMG05",5
"IMSUMG06",3
"IMSUMG07",2
"IMSUMG09",1
"IMSUMG11",3
"IMSUMG13",6
"IMSUMG14",5
"IMSUML01",5
"IMSUML13",5
"IMSURU03",6
"IMSURU13",6
"IMSURU16",1
"IMSURU19",6
"IMSWER03",6
"JI0201",1
"JI0301",5
"JI0307",3
"JI0609",2
"JI0803",1
"JI1005",5
"JI1303",5
"JI1609",2
"JI1805",5
"JI1901",1
"JI1903",2
"JI2004",4
"JI2105",6
"JI2109",5
"JI2206",2
"JI2306",1
"JI2508",4
"JI2610",5
"JI2706",4
"KD0101",6
"KD0102",7
"KD0104",8
"KD0105",7
"KD0106",6
"KD0108",8
"KD0110",7
"KD0111",3
"KD0201",8
"KD0202",7
"KD0203",6
"KD0204",6
"KD0205",7
"KD0206",6
"KD0209",3
"KD0210",4
"KD0211",5
"KD0212",1
"KD0301",1
"KD0302",7
"KD0303",6
"KD0304",8
"KD0305",7
"KD0307",7
"KD0309",4
"KD0310",4
"KD0311",6
"KD0401",4
"KD0402",6
"KD0405",7
"KD0406",6
"KD0407",1
"KD0408",3
"KD0409",5
"KD0410",7
"KD0502",5
"KD0510",5
"KD0609",5
"KD0701",4
"KD0704",3
"KD0705",5
"KD0709",2
"KD0711",5
"KD0802",6
"KD0803",6
"KD0804",5
"KD0805",6
"KD0806",1
"KD0808",7
"KD0809",5
"KD0908",7
"KD0911",3
"KD1004",4
"KD1005",1
"KD1102",1
"KD1104",8
"KD1106",6
"KD1201",5
"KD1202",7
"KD1203",6
"KD1204",8
"KD1205",5
"KD1206",4
"KD1207",7
"KD1208",7
"KD1209",6
"KD1210",5
"KD1301",6
"KD1303",8
"KD1305",6
"KD1306",7
"KD1308",7
"KD1309",5
"KD1401",2
"KD1403",4
"KD1405",4
"KD1406",7
"KD1408",6
"KD1409",5
"KD1411",2
"KD1501",3
"KD1608",5
"KD1609",1
"KD1701",1
"KD1703",3
"KD1704",4
"KD1708",3
"KD1711",5
"KD1801",6
"KD1806",3
"KD1807",5
"KD1902",3
"KD1903",5
"KD1904",2
"KD1906",2
"KD1908",1
"KD2002",3
"KD2005",6
"KD2006",1
"KD2107",1
"KD2202",6
"KD2203",5
"KD2204",3
"KD2205",3
"KD2206",6
"KD2207",3
"KD2208",8
"KD2209",8
"KD2210",8
"KD2211",8
"KD2301",4
"KD2302",1
"KD2305",2
"KD2309",7
"KD2310",4
"KD2313",1
"KGSAJA02",6
"KGSAJA04",7
"KGSAJA08",1
"KGSAJK02",5
"KGSAJK03",6
"KGSAJK07",1
"KGSBAS01",4
"KGSBAS02",6
"KGSBAS08",7
"KGSBJK01",6
"KGSBJK04",8
"KGSBJK06",8
"KGSDAH02",7
"KGSDAV08",1
"KGSERE01",3
"KGSERE02",6
"KGSERE11",6
"KGSJMU04",3
"KGSJMU08",6
"KGSJMU12",3
"KGSKAB03",6
"KGSKAB11",2
"KGSKAB12",5
"KGSKFU01",1
"KGSKFU03",5
"KGSKFU04",5
"KGSKFU06",5
"KGSKFU07",4
"KGSKFU10",2
"KGSKKF02",4
"KGSKKF04",6
"KGSKKF11",7
"KGSKKH01",4
"KGSKKH03",5
"KGSKKH10",6
"KGSKNA02",5
"KGSKNA03",4
"KGSKNA04",4
"KGSKNA09",6
"KGSKNA11",2
"KGSKNE03",6
"KGSKNE11",7
"KGSKPA03",3
"KGSKPA12",6
"KGSKPF07",6
"KGSLAM02",1
"KGSLAM06",4
"KGSLAM07",3
"KGSLAM09",1
"KGSLKJ05",4
"KGSLKJ10",5
"KGSMPA06",3
"KGSMPA08",3
"KGSNDG08",6
"KGSSAN03",7
"KGSSAN06",3
"KGSSAN08",5
"KN0403",1
"KN0408",2
"KN0802",1
"KN0808",1
"KN1205",4
"KN1302",5
"KN1501",2
"KN1505",2
"KN1704",1
"KN2106",5
"KN2210",6
"KN2402",3
"KN2503",3
"KN3005",3
"KN3007",3
"KN3109",1
"KN3310",4
"KN3404",1
"KN3407",3
"KN3606",1
"KN3607",4
"KN3610",1
"KN3707",4
"KN3709",5
"KN3915",4
"KN4007",1
"KN4110",6
"KN4206",1
"KN4209",1
"KN4409",6
"KWSAFN02",6
"KWSAFN06",5
"KWSAFN08",2
"KWSAFN14",6
"KWSAFN15",6
"KWSAFN16",3
"KWSARP01",6
